engine_type,multi_engine,tp_mods,shp,length,height,wing_span,fw,mew,auw,vmax,vcruise,vstall,hmax,hmax_one,roc,vlo,vl,range
Piston,Unknown,False,145.0,25.25,10.25,37.41666667,241.2,1180.0,2050.0,104.0,91.0,46.0,13000.0,Unknown,450.0,900.0,1300.0,370.0
Piston,Unknown,False,85.0,20.58333333,8.75,36.08333333,100.5,820.0,1350.0,89.0,83.0,44.0,12300.0,Unknown,600.0,720.0,800.0,190.0
Piston,Unknown,False,90.0,21.41666667,8.583333333,35.0,127.3,810.0,1300.0,90.0,78.0,37.0,16000.0,Unknown,650.0,475.0,850.0,210.0
Piston,Unknown,False,85.0,21.41666667,8.583333333,35.0,127.3,800.0,1300.0,88.0,78.0,37.0,13000.0,Unknown,620.0,500.0,850.0,210.0
Piston,Unknown,False,65.0,21.41666667,8.75,35.0,93.8,740.0,1220.0,83.0,74.0,33.0,12500.0,Unknown,370.0,632.0,885.0,175.0
Piston,Unknown,False,65.0,20.33333333,8.75,36.08333333,100.5,786.0,1250.0,78.0,72.0,33.0,11000.0,Unknown,360.0,583.0,880.0,180.0
Piston,True,False,350.0,34.83333333,12.08333333,36.66666667,1105.5,4275.0,6315.0,264.0,230.0,80.0,25000.0,14500.0,1820.0,3080.0,2100.0,868.0
Piston,True,False,290.0,34.75,12.08333333,36.58333333,1105.5,4125.0,6000.0,262.0,247.0,77.0,28000.0,12900.0,1755.0,2250.0,2076.0,1020.0
Piston,True,False,290.0,34.83333333,12.08333333,36.66666667,1105.5,4056.0,6000.0,257.0,235.0,77.0,25000.0,8800.0,1460.0,2490.0,2030.0,1101.0
Piston,True,False,290.0,34.83333333,12.08333333,36.66666667,1105.5,3958.0,6000.0,257.0,237.0,77.0,30000.0,8800.0,1460.0,2490.0,2030.0,1174.0
Piston,True,False,290.0,34.83333333,12.08333333,34.16666667,1165.8,3750.0,5700.0,271.0,236.0,69.0,30100.0,10800.0,1700.0,2200.0,1625.0,1174.0
Piston,True,False,290.0,34.83333333,12.08333333,34.16666667,1105.5,3737.0,5500.0,220.0,212.0,74.0,21200.0,6300.0,1800.0,1950.0,1840.0,1200.0
Propjet,Unknown,False,680.0,33.08333333,12.08333333,42.41666667,536.0,3150.0,5200.0,,113.0,,,Unknown,,900.0,,
Piston,Unknown,False,600.0,30.0,11.41666667,42.25,536.0,3650.0,6300.0,104.0,91.0,60.0,,Unknown,,2080.0,1190.0,235.0
Piston,Unknown,False,600.0,25.5,11.5,42.41666667,428.8,3650.0,5200.0,,100.0,52.0,,Unknown,1360.0,1050.0,1150.0,200.0
Piston,Unknown,False,600.0,24.33333333,10.83333333,35.91666667,308.2,3160.0,4500.0,128.0,96.0,59.0,14500.0,Unknown,1600.0,860.0,770.0,148.0
Piston,Unknown,False,525.0,25.91666667,26.08333333,42.25,308.2,2680.0,3150.0,128.0,91.0,52.0,,Unknown,1350.0,,540.0,155.0
Piston,Unknown,False,450.0,24.16666667,11.5,42.41666667,428.8,3325.0,5200.0,,100.0,,,Unknown,,,,190.0
